invoice_no,invoice_date,customer_key,country_id,is_cancelled
536365,2010-12-01 08:26:00,1,37,False
536366,2010-12-01 08:28:00,1,37,False
536367,2010-12-01 08:34:00,2,37,False
536368,2010-12-01 08:34:00,2,37,False
536369,2010-12-01 08:35:00,2,37,False
536370,2010-12-01 08:45:00,3,14,False
536371,2010-12-01 09:00:00,4,37,False
536372,2010-12-01 09:01:00,1,37,False
536373,2010-12-01 09:02:00,1,37,False
536374,2010-12-01 09:09:00,5,37,False
536375,2010-12-01 09:32:00,1,37,False
536376,2010-12-01 09:32:00,6,37,False
536377,2010-12-01 09:34:00,1,37,False
536378,2010-12-01 09:37:00,7,37,False
536380,2010-12-01 09:41:00,8,37,False
536381,2010-12-01 09:41:00,9,37,False
536382,2010-12-01 09:45:00,11,37,False
536384,2010-12-01 09:53:00,12,37,False
536385,2010-12-01 09:56:00,13,37,False
536386,2010-12-01 09:57:00,14,37,False
536387,2010-12-01 09:58:00,14,37,False
536388,2010-12-01 09:59:00,15,37,False
536389,2010-12-01 10:03:00,16,1,False
536390,2010-12-01 10:19:00,17,37,False
536392,2010-12-01 10:29:00,19,37,False
536393,2010-12-01 10:37:00,20,37,False
536394,2010-12-01 10:39:00,21,37,False
536395,2010-12-01 10:47:00,22,37,False
536396,2010-12-01 10:51:00,1,37,False
536397,2010-12-01 10:51:00,23,37,False
536398,2010-12-01 10:52:00,24,37,False
536399,2010-12-01 10:52:00,1,37,False
536400,2010-12-01 10:53:00,24,37,False
536401,2010-12-01 11:21:00,25,37,False
536402,2010-12-01 11:22:00,26,37,False
536403,2010-12-01 11:27:00,27,25,False
536404,2010-12-01 11:29:00,28,37,False
536405,2010-12-01 11:32:00,29,37,False
536406,2010-12-01 11:33:00,1,37,False
536407,2010-12-01 11:34:00,1,37,False
536408,2010-12-01 11:41:00,30,37,False
536409,2010-12-01 11:45:00,31,37,False
536412,2010-12-01 11:49:00,32,37,False
536414,2010-12-01 11:52:00,33,37,False
536415,2010-12-01 11:57:00,34,37,False
536416,2010-12-01 11:58:00,35,37,False
536420,2010-12-01 12:03:00,36,37,False
536423,2010-12-01 12:08:00,37,37,False
536425,2010-12-01 12:08:00,38,37,False
536437,2010-12-01 12:12:00,39,37,False
536446,2010-12-01 12:15:00,40,37,False
536460,2010-12-01 12:22:00,41,37,False
536463,2010-12-01 12:22:00,41,37,False
536464,2010-12-01 12:23:00,42,37,False
536466,2010-12-01 12:23:00,41,37,False
536477,2010-12-01 12:27:00,43,37,False
536488,2010-12-01 12:31:00,44,37,False
536500,2010-12-01 12:35:00,45,37,False
536502,2010-12-01 12:36:00,46,37,False
536508,2010-12-01 12:38:00,47,37,False
536514,2010-12-01 12:40:00,48,37,False
536520,2010-12-01 12:43:00,49,37,False
536521,2010-12-01 12:48:00,50,37,False
536522,2010-12-01 12:49:00,51,37,False
536523,2010-12-01 12:50:00,52,37,False
536524,2010-12-01 12:51:00,53,37,False
536525,2010-12-01 12:54:00,54,37,False
536526,2010-12-01 12:58:00,55,37,False
536527,2010-12-01 13:04:00,56,15,False
536528,2010-12-01 13:17:00,57,37,False
536529,2010-12-01 13:20:00,58,37,False
536530,2010-12-01 13:21:00,59,37,False
536531,2010-12-01 13:23:00,60,37,False
536532,2010-12-01 13:24:00,61,26,False
536533,2010-12-01 13:31:00,62,37,False
536534,2010-12-01 13:33:00,63,37,False
536535,2010-12-01 13:38:00,64,37,False
536536,2010-12-01 13:45:00,65,37,False
536537,2010-12-01 13:51:00,66,37,False
536538,2010-12-01 13:54:00,67,37,False
536539,2010-12-01 14:03:00,68,37,False
536540,2010-12-01 14:05:00,69,11,False
536541,2010-12-01 14:05:00,69,11,False
536542,2010-12-01 14:11:00,70,37,False
536544,2010-12-01 14:32:00,33,37,False
536545,2010-12-01 14:32:00,33,37,False
536546,2010-12-01 14:33:00,33,37,False
536547,2010-12-01 14:33:00,33,37,False
536549,2010-12-01 14:34:00,33,37,False
536550,2010-12-01 14:34:00,33,37,False
536551,2010-12-01 14:34:00,73,37,False
536552,2010-12-01 14:34:00,33,37,False
536553,2010-12-01 14:35:00,33,37,False
536554,2010-12-01 14:35:00,33,37,False
536555,2010-12-01 14:37:00,33,37,False
536556,2010-12-01 14:38:00,74,37,False
536557,2010-12-01 14:41:00,71,37,False
536558,2010-12-01 14:48:00,33,37,False
536559,2010-12-01 14:54:00,75,37,False
536560,2010-12-01 15:00:00,76,37,False
536561,2010-12-01 15:06:00,77,37,False
536562,2010-12-01 15:08:00,78,37,False
536563,2010-12-01 15:08:00,79,37,False
536564,2010-12-01 15:08:00,78,37,False
536565,2010-12-01 15:15:00,33,37,False
536566,2010-12-01 15:21:00,80,37,False
536567,2010-12-01 15:27:00,81,37,False
536568,2010-12-01 15:28:00,81,37,False
536569,2010-12-01 15:35:00,82,37,False
536570,2010-12-01 15:35:00,83,37,False
536571,2010-12-01 15:37:00,84,37,False
536572,2010-12-01 15:40:00,85,37,False
536573,2010-12-01 15:45:00,86,37,False
536574,2010-12-01 15:46:00,86,37,False
536575,2010-12-01 16:01:00,87,37,False
536576,2010-12-01 16:11:00,87,37,False
536577,2010-12-01 16:13:00,87,37,False
536578,2010-12-01 16:15:00,88,37,False
536579,2010-12-01 16:16:00,87,37,False
536580,2010-12-01 16:17:00,88,37,False
536581,2010-12-01 16:19:00,87,37,False
536582,2010-12-01 16:21:00,89,37,False
536583,2010-12-01 16:21:00,87,37,False
536584,2010-12-01 16:22:00,87,37,False
536585,2010-12-01 16:24:00,90,37,False
536586,2010-12-01 16:25:00,91,37,False
536587,2010-12-01 16:33:00,92,37,False
536588,2010-12-01 16:49:00,93,37,False
536589,2010-12-01 16:50:00,33,37,False
536590,2010-12-01 16:52:00,94,37,False
536591,2010-12-01 16:57:00,95,37,False
536592,2010-12-01 17:06:00,33,37,False
536593,2010-12-01 17:15:00,96,37,False
536594,2010-12-01 17:22:00,97,37,False
536595,2010-12-01 17:24:00,98,37,False
536596,2010-12-01 17:29:00,33,37,False
536597,2010-12-01 17:35:00,99,37,False
536598,2010-12-02 07:48:00,100,37,False
536599,2010-12-02 07:49:00,101,37,False
536600,2010-12-02 08:32:00,1,37,False
536601,2010-12-02 08:33:00,1,37,False
536602,2010-12-02 08:34:00,1,37,False
536603,2010-12-02 08:40:00,1,37,False
536604,2010-12-02 08:43:00,102,37,False
536605,2010-12-02 08:52:00,103,37,False
536607,2010-12-02 09:29:00,105,37,False
536608,2010-12-02 09:37:00,106,37,False
536609,2010-12-02 09:41:00,1,37,False
536610,2010-12-02 09:42:00,1,37,False
536611,2010-12-02 09:43:00,107,37,False
536612,2010-12-02 09:44:00,1,37,False
536613,2010-12-02 09:44:00,108,37,False
536614,2010-12-02 09:44:00,1,37,False
536615,2010-12-02 10:09:00,109,37,False
536616,2010-12-02 10:10:00,110,37,False
536617,2010-12-02 10:17:00,111,37,False
536618,2010-12-02 10:17:00,112,37,False
536619,2010-12-02 10:18:00,112,37,False
536620,2010-12-02 10:27:00,113,37,False
536621,2010-12-02 10:35:00,114,37,False
536623,2010-12-02 10:39:00,116,37,False
536624,2010-12-02 10:45:00,117,37,False
536626,2010-12-02 10:46:00,117,37,False
536627,2010-12-02 10:53:00,119,37,False
536628,2010-12-02 10:54:00,1,37,False
536629,2010-12-02 10:55:00,1,37,False
536630,2010-12-02 10:56:00,1,37,False
536631,2010-12-02 10:58:00,1,37,False
536632,2010-12-02 11:02:00,120,37,False
536633,2010-12-02 11:20:00,121,37,False
536634,2010-12-02 11:21:00,122,37,False
536635,2010-12-02 11:22:00,123,37,False
536636,2010-12-02 11:23:00,124,37,False
536637,2010-12-02 11:35:00,122,37,False
536638,2010-12-02 11:41:00,125,37,False
536639,2010-12-02 11:45:00,126,37,False
536640,2010-12-02 11:45:00,33,37,False
536641,2010-12-02 11:46:00,50,37,False
536643,2010-12-02 11:57:00,127,37,False
536663,2010-12-02 12:07:00,128,37,False
536667,2010-12-02 12:09:00,129,37,False
536670,2010-12-02 12:09:00,129,37,False
536671,2010-12-02 12:10:00,130,37,False
536672,2010-12-02 12:10:00,131,37,False
536673,2010-12-02 12:11:00,132,37,False
536674,2010-12-02 12:16:00,133,37,False
536676,2010-12-02 12:18:00,134,37,False
536681,2010-12-02 12:22:00,135,37,False
536685,2010-12-02 12:23:00,1,37,False
536688,2010-12-02 12:24:00,1,37,False
536690,2010-12-02 12:25:00,1,37,False
536693,2010-12-02 12:26:00,1,37,False
536698,2010-12-02 12:28:00,136,37,False
536707,2010-12-02 12:33:00,137,37,False
536732,2010-12-02 12:47:00,138,37,False
536733,2010-12-02 12:50:00,139,37,False
536735,2010-12-02 12:58:00,141,37,False
536736,2010-12-02 12:59:00,141,37,False
536738,2010-12-02 13:06:00,142,37,False
536739,2010-12-02 13:08:00,143,37,False
