date_key,date,year,quarter,month,day
1,2010-12-01,2010,4,12,1
2,2010-12-02,2010,4,12,2
3,2010-12-03,2010,4,12,3
4,2010-12-05,2010,4,12,5
5,2010-12-06,2010,4,12,6
6,2010-12-07,2010,4,12,7
7,2010-12-08,2010,4,12,8
8,2010-12-09,2010,4,12,9
9,2010-12-10,2010,4,12,10
10,2010-12-12,2010,4,12,12
11,2010-12-13,2010,4,12,13
12,2010-12-14,2010,4,12,14
13,2010-12-15,2010,4,12,15
14,2010-12-16,2010,4,12,16
15,2010-12-17,2010,4,12,17
16,2010-12-19,2010,4,12,19
17,2010-12-20,2010,4,12,20
18,2010-12-21,2010,4,12,21
19,2010-12-22,2010,4,12,22
20,2010-12-23,2010,4,12,23
21,2011-01-04,2011,1,1,4
22,2011-01-05,2011,1,1,5
23,2011-01-06,2011,1,1,6
24,2011-01-07,2011,1,1,7
25,2011-01-09,2011,1,1,9
26,2011-01-10,2011,1,1,10
27,2011-01-11,2011,1,1,11
28,2011-01-12,2011,1,1,12
29,2011-01-13,2011,1,1,13
30,2011-01-14,2011,1,1,14
31,2011-01-16,2011,1,1,16
32,2011-01-17,2011,1,1,17
33,2011-01-18,2011,1,1,18
34,2011-01-19,2011,1,1,19
35,2011-01-20,2011,1,1,20
36,2011-01-21,2011,1,1,21
37,2011-01-23,2011,1,1,23
38,2011-01-24,2011,1,1,24
39,2011-01-25,2011,1,1,25
40,2011-01-26,2011,1,1,26
41,2011-01-27,2011,1,1,27
42,2011-01-28,2011,1,1,28
43,2011-01-30,2011,1,1,30
44,2011-01-31,2011,1,1,31
45,2011-02-01,2011,1,2,1
46,2011-02-02,2011,1,2,2
47,2011-02-03,2011,1,2,3
48,2011-02-04,2011,1,2,4
49,2011-02-06,2011,1,2,6
50,2011-02-07,2011,1,2,7
51,2011-02-08,2011,1,2,8
52,2011-02-09,2011,1,2,9
53,2011-02-10,2011,1,2,10
54,2011-02-11,2011,1,2,11
55,2011-02-13,2011,1,2,13
56,2011-02-14,2011,1,2,14
57,2011-02-15,2011,1,2,15
58,2011-02-16,2011,1,2,16
59,2011-02-17,2011,1,2,17
60,2011-02-18,2011,1,2,18
61,2011-02-20,2011,1,2,20
62,2011-02-21,2011,1,2,21
63,2011-02-22,2011,1,2,22
64,2011-02-23,2011,1,2,23
65,2011-02-24,2011,1,2,24
66,2011-02-25,2011,1,2,25
67,2011-02-27,2011,1,2,27
68,2011-02-28,2011,1,2,28
69,2011-03-01,2011,1,3,1
70,2011-03-02,2011,1,3,2
71,2011-03-03,2011,1,3,3
72,2011-03-04,2011,1,3,4
73,2011-03-06,2011,1,3,6
74,2011-03-07,2011,1,3,7
75,2011-03-08,2011,1,3,8
76,2011-03-09,2011,1,3,9
77,2011-03-10,2011,1,3,10
78,2011-03-11,2011,1,3,11
79,2011-03-13,2011,1,3,13
80,2011-03-14,2011,1,3,14
81,2011-03-15,2011,1,3,15
82,2011-03-16,2011,1,3,16
83,2011-03-17,2011,1,3,17
84,2011-03-18,2011,1,3,18
85,2011-03-20,2011,1,3,20
86,2011-03-21,2011,1,3,21
87,2011-03-22,2011,1,3,22
88,2011-03-23,2011,1,3,23
89,2011-03-24,2011,1,3,24
90,2011-03-25,2011,1,3,25
91,2011-03-27,2011,1,3,27
92,2011-03-28,2011,1,3,28
93,2011-03-29,2011,1,3,29
94,2011-03-30,2011,1,3,30
95,2011-03-31,2011,1,3,31
96,2011-04-01,2011,2,4,1
97,2011-04-03,2011,2,4,3
98,2011-04-04,2011,2,4,4
99,2011-04-05,2011,2,4,5
100,2011-04-06,2011,2,4,6
101,2011-04-07,2011,2,4,7
102,2011-04-08,2011,2,4,8
103,2011-04-10,2011,2,4,10
104,2011-04-11,2011,2,4,11
105,2011-04-12,2011,2,4,12
106,2011-04-13,2011,2,4,13
107,2011-04-14,2011,2,4,14
108,2011-04-15,2011,2,4,15
109,2011-04-17,2011,2,4,17
110,2011-04-18,2011,2,4,18
111,2011-04-19,2011,2,4,19
112,2011-04-20,2011,2,4,20
113,2011-04-21,2011,2,4,21
114,2011-04-26,2011,2,4,26
115,2011-04-27,2011,2,4,27
116,2011-04-28,2011,2,4,28
117,2011-05-01,2011,2,5,1
118,2011-05-03,2011,2,5,3
119,2011-05-04,2011,2,5,4
120,2011-05-05,2011,2,5,5
121,2011-05-06,2011,2,5,6
122,2011-05-08,2011,2,5,8
123,2011-05-09,2011,2,5,9
124,2011-05-10,2011,2,5,10
125,2011-05-11,2011,2,5,11
126,2011-05-12,2011,2,5,12
127,2011-05-13,2011,2,5,13
128,2011-05-15,2011,2,5,15
129,2011-05-16,2011,2,5,16
130,2011-05-17,2011,2,5,17
131,2011-05-18,2011,2,5,18
132,2011-05-19,2011,2,5,19
133,2011-05-20,2011,2,5,20
134,2011-05-22,2011,2,5,22
135,2011-05-23,2011,2,5,23
136,2011-05-24,2011,2,5,24
137,2011-05-25,2011,2,5,25
138,2011-05-26,2011,2,5,26
139,2011-05-27,2011,2,5,27
140,2011-05-29,2011,2,5,29
141,2011-05-31,2011,2,5,31
142,2011-06-01,2011,2,6,1
143,2011-06-02,2011,2,6,2
144,2011-06-03,2011,2,6,3
145,2011-06-05,2011,2,6,5
146,2011-06-06,2011,2,6,6
147,2011-06-07,2011,2,6,7
148,2011-06-08,2011,2,6,8
149,2011-06-09,2011,2,6,9
150,2011-06-10,2011,2,6,10
151,2011-06-12,2011,2,6,12
152,2011-06-13,2011,2,6,13
153,2011-06-14,2011,2,6,14
154,2011-06-15,2011,2,6,15
155,2011-06-16,2011,2,6,16
156,2011-06-17,2011,2,6,17
157,2011-06-19,2011,2,6,19
158,2011-06-20,2011,2,6,20
159,2011-06-21,2011,2,6,21
160,2011-06-22,2011,2,6,22
161,2011-06-23,2011,2,6,23
162,2011-06-24,2011,2,6,24
163,2011-06-26,2011,2,6,26
164,2011-06-27,2011,2,6,27
165,2011-06-28,2011,2,6,28
166,2011-06-29,2011,2,6,29
167,2011-06-30,2011,2,6,30
168,2011-07-01,2011,3,7,1
169,2011-07-03,2011,3,7,3
170,2011-07-04,2011,3,7,4
171,2011-07-05,2011,3,7,5
172,2011-07-06,2011,3,7,6
173,2011-07-07,2011,3,7,7
174,2011-07-08,2011,3,7,8
175,2011-07-10,2011,3,7,10
176,2011-07-11,2011,3,7,11
177,2011-07-12,2011,3,7,12
178,2011-07-13,2011,3,7,13
179,2011-07-14,2011,3,7,14
180,2011-07-15,2011,3,7,15
181,2011-07-17,2011,3,7,17
182,2011-07-18,2011,3,7,18
183,2011-07-19,2011,3,7,19
184,2011-07-20,2011,3,7,20
185,2011-07-21,2011,3,7,21
186,2011-07-22,2011,3,7,22
187,2011-07-24,2011,3,7,24
188,2011-07-25,2011,3,7,25
189,2011-07-26,2011,3,7,26
190,2011-07-27,2011,3,7,27
191,2011-07-28,2011,3,7,28
192,2011-07-29,2011,3,7,29
193,2011-07-31,2011,3,7,31
194,2011-08-01,2011,3,8,1
195,2011-08-02,2011,3,8,2
196,2011-08-03,2011,3,8,3
197,2011-08-04,2011,3,8,4
198,2011-08-05,2011,3,8,5
199,2011-08-07,2011,3,8,7
200,2011-08-08,2011,3,8,8
201,2011-08-09,2011,3,8,9
202,2011-08-10,2011,3,8,10
203,2011-08-11,2011,3,8,11
204,2011-08-12,2011,3,8,12
205,2011-08-14,2011,3,8,14
206,2011-08-15,2011,3,8,15
207,2011-08-16,2011,3,8,16
208,2011-08-17,2011,3,8,17
209,2011-08-18,2011,3,8,18
210,2011-08-19,2011,3,8,19
211,2011-08-21,2011,3,8,21
212,2011-08-22,2011,3,8,22
213,2011-08-23,2011,3,8,23
214,2011-08-24,2011,3,8,24
215,2011-08-25,2011,3,8,25
216,2011-08-26,2011,3,8,26
217,2011-08-28,2011,3,8,28
218,2011-08-30,2011,3,8,30
219,2011-08-31,2011,3,8,31
220,2011-09-01,2011,3,9,1
221,2011-09-02,2011,3,9,2
222,2011-09-04,2011,3,9,4
223,2011-09-05,2011,3,9,5
224,2011-09-06,2011,3,9,6
225,2011-09-07,2011,3,9,7
226,2011-09-08,2011,3,9,8
227,2011-09-09,2011,3,9,9
228,2011-09-11,2011,3,9,11
229,2011-09-12,2011,3,9,12
230,2011-09-13,2011,3,9,13
231,2011-09-14,2011,3,9,14
232,2011-09-15,2011,3,9,15
233,2011-09-16,2011,3,9,16
234,2011-09-18,2011,3,9,18
235,2011-09-19,2011,3,9,19
236,2011-09-20,2011,3,9,20
237,2011-09-21,2011,3,9,21
238,2011-09-22,2011,3,9,22
239,2011-09-23,2011,3,9,23
240,2011-09-25,2011,3,9,25
241,2011-09-26,2011,3,9,26
242,2011-09-27,2011,3,9,27
243,2011-09-28,2011,3,9,28
244,2011-09-29,2011,3,9,29
245,2011-09-30,2011,3,9,30
246,2011-10-02,2011,4,10,2
247,2011-10-03,2011,4,10,3
248,2011-10-04,2011,4,10,4
249,2011-10-05,2011,4,10,5
250,2011-10-06,2011,4,10,6
251,2011-10-07,2011,4,10,7
252,2011-10-09,2011,4,10,9
253,2011-10-10,2011,4,10,10
254,2011-10-11,2011,4,10,11
255,2011-10-12,2011,4,10,12
256,2011-10-13,2011,4,10,13
257,2011-10-14,2011,4,10,14
258,2011-10-16,2011,4,10,16
259,2011-10-17,2011,4,10,17
260,2011-10-18,2011,4,10,18
261,2011-10-19,2011,4,10,19
262,2011-10-20,2011,4,10,20
263,2011-10-21,2011,4,10,21
264,2011-10-23,2011,4,10,23
265,2011-10-24,2011,4,10,24
266,2011-10-25,2011,4,10,25
267,2011-10-26,2011,4,10,26
268,2011-10-27,2011,4,10,27
269,2011-10-28,2011,4,10,28
270,2011-10-30,2011,4,10,30
271,2011-10-31,2011,4,10,31
272,2011-11-01,2011,4,11,1
273,2011-11-02,2011,4,11,2
274,2011-11-03,2011,4,11,3
275,2011-11-04,2011,4,11,4
276,2011-11-06,2011,4,11,6
277,2011-11-07,2011,4,11,7
278,2011-11-08,2011,4,11,8
279,2011-11-09,2011,4,11,9
280,2011-11-10,2011,4,11,10
281,2011-11-11,2011,4,11,11
282,2011-11-13,2011,4,11,13
283,2011-11-14,2011,4,11,14
284,2011-11-15,2011,4,11,15
285,2011-11-16,2011,4,11,16
286,2011-11-17,2011,4,11,17
287,2011-11-18,2011,4,11,18
288,2011-11-20,2011,4,11,20
289,2011-11-21,2011,4,11,21
290,2011-11-22,2011,4,11,22
291,2011-11-23,2011,4,11,23
292,2011-11-24,2011,4,11,24
293,2011-11-25,2011,4,11,25
294,2011-11-27,2011,4,11,27
295,2011-11-28,2011,4,11,28
296,2011-11-29,2011,4,11,29
297,2011-11-30,2011,4,11,30
298,2011-12-01,2011,4,12,1
299,2011-12-02,2011,4,12,2
300,2011-12-04,2011,4,12,4
301,2011-12-05,2011,4,12,5
302,2011-12-06,2011,4,12,6
303,2011-12-07,2011,4,12,7
304,2011-12-08,2011,4,12,8
305,2011-12-09,2011,4,12,9
