country_name,net_sales,gross_sales,returns,transaction_lines
United Kingdom,8187806.364,9025222.084,-837415.72,495478
Netherlands,284661.54,285446.34,-784.8000000000001,2371
EIRE,263276.82,283453.96,-20177.14,8196
Germany,221698.21,228867.14,-7168.93,9495
France,197403.9,209715.11,-12311.210000000001,8557
Australia,142907.08,144422.18,-1515.1,1466
Switzerland,58524.14,59477.79,-953.65,2085
Spain,55978.840000000004,62781.37,-6802.53,2604
Belgium,45407.32,45763.0,-355.68,2319
Sweden,36595.91,38378.33,-1782.42,462
Japan,35340.62,37416.369999999995,-2075.75,358
Norway,35163.46,36165.44,-1001.98,1086
Portugal,29367.02,33747.1,-4380.08,1519
Denmark,22971.96,23159.16,-187.2,471
Finland,22326.74,22546.08,-219.34,695
Channel Islands,20086.29,20450.44,-364.15,758
Cyprus,18110.03,18950.47,-840.4399999999999,826
Italy,16890.51,17483.24,-592.73,803
Austria,10869.5,10913.86,-44.36,430
Hong Kong,10117.04,15691.800000000001,-5574.76,288
Singapore,9120.39,21279.29,-12158.9,229
Israel,7907.82,8135.26,-227.44,297
Poland,7213.14,7334.65,-121.51,341
Unspecified,4749.79,4749.79,0.0,446
Greece,4710.52,4760.52,-50.0,146
Iceland,4310.0,4310.0,0.0,182
Canada,3666.38,3666.38,0.0,151
Malta,2505.47,2725.59,-220.12,127
United Arab Emirates,1902.28,1902.28,0.0,68
USA,1730.92,3580.39,-1849.47,291
Lebanon,1693.88,1693.88,0.0,45
Lithuania,1661.06,1661.06,0.0,35
European Community,1291.75,1300.25,-8.5,61
Brazil,1143.6,1143.6,0.0,32
RSA,1002.3100000000001,1002.3100000000001,0.0,58
Czech Republic,707.72,826.74,-119.02,30
Bahrain,548.4,754.14,-205.74,19
Saudi Arabia,131.17,145.92,-14.75,10
