customer_key,customer_id,country_key,country_name,valid_from,valid_to,current_flag
1,12346,36,United Kingdom,2011-01-18 10:01:00,,True
2,12347,17,Iceland,2010-12-07 14:57:00,,True
3,12348,13,Finland,2010-12-16 19:09:00,,True
4,12349,19,Italy,2011-11-21 09:51:00,,True
5,12350,25,Norway,2011-02-02 16:01:00,,True
6,12352,25,Norway,2011-02-16 12:33:00,,True
7,12353,3,Bahrain,2011-05-19 17:47:00,,True
8,12354,31,Spain,2011-04-21 13:11:00,,True
9,12355,3,Bahrain,2011-05-09 13:49:00,,True
10,12356,27,Portugal,2011-01-18 09:50:00,,True
11,12357,33,Switzerland,2011-11-06 16:07:00,,True
12,12358,2,Austria,2011-07-12 10:04:00,,True
13,12359,8,Cyprus,2011-01-12 12:43:00,,True
14,12360,2,Austria,2011-05-23 09:43:00,,True
15,12361,4,Belgium,2011-02-25 13:51:00,,True
16,12362,4,Belgium,2011-02-17 10:30:00,,True
17,12363,37,Unspecified,2011-04-11 13:29:00,,True
18,12364,4,Belgium,2011-08-19 15:24:00,,True
19,12365,8,Cyprus,2011-02-21 13:51:00,,True
20,12367,10,Denmark,2011-12-05 16:48:00,,True
21,12370,8,Cyprus,2010-12-14 12:58:00,2010-12-17 09:38:00,False
22,12370,2,Austria,2010-12-17 09:38:00,2011-03-10 12:48:00,False
23,12370,8,Cyprus,2011-03-10 12:48:00,,True
24,12371,33,Switzerland,2011-10-11 10:43:00,,True
25,12372,10,Denmark,2011-02-16 12:46:00,,True
26,12373,2,Austria,2011-02-01 13:10:00,,True
27,12374,2,Austria,2011-11-14 15:37:00,,True
28,12375,13,Finland,2011-09-02 14:23:00,,True
29,12377,33,Switzerland,2010-12-20 09:37:00,,True
30,12378,33,Switzerland,2011-08-02 10:34:00,,True
31,12379,4,Belgium,2011-06-22 16:32:00,,True
32,12380,4,Belgium,2011-06-07 09:49:00,,True
33,12381,25,Norway,2011-08-12 09:57:00,,True
34,12383,4,Belgium,2010-12-22 14:28:00,,True
35,12384,33,Switzerland,2011-08-10 11:23:00,,True
36,12386,1,Australia,2010-12-08 09:53:00,,True
37,12388,1,Australia,2011-01-17 11:12:00,,True
38,12390,4,Belgium,2011-09-21 09:33:00,,True
39,12391,8,Cyprus,2011-11-18 12:07:00,,True
40,12393,1,Australia,2011-01-11 09:47:00,,True
41,12394,4,Belgium,2011-05-06 14:01:00,2011-10-07 08:08:00,False
42,12394,10,Denmark,2011-10-07 08:08:00,,True
43,12395,4,Belgium,2010-12-03 16:35:00,,True
44,12397,4,Belgium,2011-07-27 14:21:00,,True
45,12398,33,Switzerland,2011-10-25 10:27:00,,True
46,12399,4,Belgium,2011-03-23 09:42:00,,True
47,12401,4,Belgium,2011-02-09 13:50:00,,True
48,12402,4,Belgium,2011-01-20 13:49:00,,True
49,12403,10,Denmark,2011-10-21 10:51:00,,True
