invoice_key,invoice_no,invoice_datetime,invoice_date,invoice_hour
1,536365,2010-12-01 08:26:00,2010-12-01,8
2,536366,2010-12-01 08:28:00,2010-12-01,8
3,536367,2010-12-01 08:34:00,2010-12-01,8
4,536368,2010-12-01 08:34:00,2010-12-01,8
5,536369,2010-12-01 08:35:00,2010-12-01,8
6,536370,2010-12-01 08:45:00,2010-12-01,8
7,536371,2010-12-01 09:00:00,2010-12-01,9
8,536372,2010-12-01 09:01:00,2010-12-01,9
9,536373,2010-12-01 09:02:00,2010-12-01,9
10,536374,2010-12-01 09:09:00,2010-12-01,9
11,536375,2010-12-01 09:32:00,2010-12-01,9
12,536376,2010-12-01 09:32:00,2010-12-01,9
13,536377,2010-12-01 09:34:00,2010-12-01,9
14,536378,2010-12-01 09:37:00,2010-12-01,9
15,536380,2010-12-01 09:41:00,2010-12-01,9
16,536381,2010-12-01 09:41:00,2010-12-01,9
17,536382,2010-12-01 09:45:00,2010-12-01,9
18,536384,2010-12-01 09:53:00,2010-12-01,9
19,536385,2010-12-01 09:56:00,2010-12-01,9
20,536386,2010-12-01 09:57:00,2010-12-01,9
21,536387,2010-12-01 09:58:00,2010-12-01,9
22,536388,2010-12-01 09:59:00,2010-12-01,9
23,536389,2010-12-01 10:03:00,2010-12-01,10
24,536390,2010-12-01 10:19:00,2010-12-01,10
25,536392,2010-12-01 10:29:00,2010-12-01,10
26,536393,2010-12-01 10:37:00,2010-12-01,10
27,536394,2010-12-01 10:39:00,2010-12-01,10
28,536395,2010-12-01 10:47:00,2010-12-01,10
29,536396,2010-12-01 10:51:00,2010-12-01,10
30,536397,2010-12-01 10:51:00,2010-12-01,10
31,536398,2010-12-01 10:52:00,2010-12-01,10
32,536399,2010-12-01 10:52:00,2010-12-01,10
33,536400,2010-12-01 10:53:00,2010-12-01,10
34,536401,2010-12-01 11:21:00,2010-12-01,11
35,536402,2010-12-01 11:22:00,2010-12-01,11
36,536403,2010-12-01 11:27:00,2010-12-01,11
37,536404,2010-12-01 11:29:00,2010-12-01,11
38,536405,2010-12-01 11:32:00,2010-12-01,11
39,536406,2010-12-01 11:33:00,2010-12-01,11
40,536407,2010-12-01 11:34:00,2010-12-01,11
41,536408,2010-12-01 11:41:00,2010-12-01,11
42,536409,2010-12-01 11:45:00,2010-12-01,11
43,536412,2010-12-01 11:49:00,2010-12-01,11
44,536415,2010-12-01 11:57:00,2010-12-01,11
45,536416,2010-12-01 11:58:00,2010-12-01,11
46,536420,2010-12-01 12:03:00,2010-12-01,12
47,536423,2010-12-01 12:08:00,2010-12-01,12
48,536425,2010-12-01 12:08:00,2010-12-01,12
49,536437,2010-12-01 12:12:00,2010-12-01,12
50,536446,2010-12-01 12:15:00,2010-12-01,12
51,536460,2010-12-01 12:22:00,2010-12-01,12
52,536463,2010-12-01 12:22:00,2010-12-01,12
53,536464,2010-12-01 12:23:00,2010-12-01,12
54,536466,2010-12-01 12:23:00,2010-12-01,12
55,536477,2010-12-01 12:27:00,2010-12-01,12
56,536488,2010-12-01 12:31:00,2010-12-01,12
57,536500,2010-12-01 12:35:00,2010-12-01,12
58,536502,2010-12-01 12:36:00,2010-12-01,12
59,536508,2010-12-01 12:38:00,2010-12-01,12
60,536514,2010-12-01 12:40:00,2010-12-01,12
61,536520,2010-12-01 12:43:00,2010-12-01,12
62,536521,2010-12-01 12:48:00,2010-12-01,12
63,536522,2010-12-01 12:49:00,2010-12-01,12
64,536523,2010-12-01 12:50:00,2010-12-01,12
65,536524,2010-12-01 12:51:00,2010-12-01,12
66,536525,2010-12-01 12:54:00,2010-12-01,12
67,536526,2010-12-01 12:58:00,2010-12-01,12
