stock_code,product_name,revenue,quantity
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
22423,REGENCY CAKESTAND 3 TIER,142264.75,12374
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100547.45,36763
85099B,JUMBO BAG RED RETROSPOT,85040.54000000001,46078
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916
POST,POSTAGE,77803.96,3120
47566,PARTY BUNTING,68785.23000000001,15279
84879,ASSORTED COLOUR BIRD ORNAMENT,56413.03,35263
M,Manual,53419.93,6933
23084,RABBIT NIGHT LIGHT,51251.24,27153
22502,PICNIC BASKET WICKER SMALL,47348.35,1485
79321,CHILLI LIGHTS,46265.11,9646
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42584.130000000005,15591
21137,BLACK RECORD COVER FRAME,39045.8,11401
23203,JUMBO BAG VINTAGE DOILY ,37646.94,19498
22386,JUMBO BAG PINK POLKADOT,37254.36,20148
22197,POPCORN HOLDER,37206.88,49160
23298,SPOTTY BUNTING,36144.25,7779
23284,DOORMAT KEEP CALM AND COME IN,35880.85,5338
82484,WOOD BLACK BOARD ANT WHITE FINISH,34414.71,5913
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33298.3,7010
22960,JAM MAKING SET WITH JARS,32616.22,8140
85099F,JUMBO BAG STRAWBERRY,30569.32,16771
22178,VICTORIAN GLASS HANGING T-LIGHT,28735.36,22404
22470,HEART OF WICKER LARGE,28479.65,9577
22469,HEART OF WICKER SMALL,28217.089999999997,16768
20725,LUNCH BAG RED RETROSPOT,28158.8,17776
23245,SET OF 3 REGENCY CAKE TINS,26566.280000000002,5844
23199,JUMBO BAG APPLES,26426.3,13875
21175,GIN + TONIC DIET METAL SIGN,26063.34,11975
22727,ALARM CLOCK BAKELIKE RED ,25868.95,7206
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,25639.77,9423
20685,DOORMAT RED RETROSPOT,25364.85,3897
22699,ROSES REGENCY TEACUP AND SAUCER ,24827.25,9119
22629,SPACEBOY LUNCH BOX ,24673.14,13908
23355,HOT WATER BOTTLE KEEP CALM,24302.550000000003,5313
23201,JUMBO BAG ALPHABET,24160.44,12533
22457,NATURAL SLATE HEART CHALKBOARD ,24089.170000000002,8427
21181,PLEASE ONE PERSON METAL SIGN,23865.820000000003,11932
21915,RED  HARMONICA IN BOX ,23756.43,20945
85099C,JUMBO  BAG BAROQUE BLACK WHITE,23630.58,12771
48138,DOORMAT UNION FLAG,23622.54,3614
22112,CHOCOLATE HOT WATER BOTTLE,23584.64,5152
23173,REGENCY TEAPOT ROSES ,23033.52,2662
22138,BAKING SET 9 PIECE RETROSPOT ,22953.100000000002,4786
48187,DOORMAT NEW ENGLAND,22783.8,3698
22189,CREAM HEART CARD HOLDER,22687.920000000002,8188
21623,VINTAGE UNION JACK MEMOBOARD,22679.28,3252
21733,RED HANGING HEART T-LIGHT HOLDER,22595.190000000002,7749
23243,SET OF TEA COFFEE SUGAR TINS PANTRY,22109.08,4658
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,22101.77,8075
21931,JUMBO STORAGE BAG SUKI,21784.84,11513
48185,DOORMAT FAIRY CAKE,21171.79,3427
22961,JAM MAKING SET PRINTED,21147.55,15039
21621,VINTAGE UNION JACK BUNTING,20945.16,2538
23202,JUMBO BAG VINTAGE LEAF,20921.55,10695
22726,ALARM CLOCK BAKELIKE GREEN,20839.15,5630
22666,RECIPE BOX PANTRY YELLOW DESIGN,20838.620000000003,7366
23209,LUNCH BAG VINTAGE DOILY ,20786.21,12985
15056N,EDWARDIAN PARASOL NATURAL,20672.91,3822
22722,SET OF 6 SPICE TINS PANTRY DESIGN,20482.600000000002,5360
85066,CREAM SWEETHEART MINI CHEST,20448.17,1696
22139,RETROSPOT TEA SET CERAMIC 11 PC ,20426.23,4239
21166,COOK WITH WINE METAL SIGN ,20232.13,10169
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,20116.38,10490
22630,DOLLY GIRL LUNCH BOX,20104.09,11323
22111,SCOTTIE DOG HOT WATER BOTTLE,20049.9,4248
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,20041.22,6650
82482,WOODEN PICTURE FRAME WHITE FINISH,19945.45,8256
48194,DOORMAT HEARTS,19924.66,3268
21731,RED TOADSTOOL LED NIGHT LIGHT,19831.71,12863
22659,LUNCH BOX I LOVE LONDON,19316.17,11075
84946,ANTIQUE SILVER T-LIGHT GLASS,19193.170000000002,16436
21523,DOORMAT FANCY FONT HOME SWEET HOME,19149.07,3087
20713,JUMBO BAG OWLS,19047.02,10451
84997D,CHILDRENS CUTLERY POLKADOT PINK,18798.7,4920
22090,PAPER BUNTING RETROSPOT,18785.99,6877
22383,LUNCH BAG SUKI DESIGN ,18667.6,11688
22728,ALARM CLOCK BAKELIKE PINK,18539.09,5066
21929,JUMBO BAG PINK VINTAGE PAISLEY,18427.9,9888
23206,LUNCH BAG APPLE DESIGN,18220.5,11530
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,18053.48,9699
20727,LUNCH BAG  BLACK SKULL.,17950.3,11246
21843,RED RETROSPOT CAKE STAND,17918.8,1808
22697,GREEN REGENCY TEACUP AND SAUCER,17735.54,6406
23344,JUMBO BAG 50'S CHRISTMAS ,17636.04,8933
82494L,WOODEN FRAME ANTIQUE WHITE ,17583.77,6268
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,17569.59,6469
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17554.27,7892
22969,HOMEMADE JAM SCENTED CANDLES,17504.2,12080
22467,GUMBALL COAT RACK,17488.55,7652
82486,WOOD S/3 CABINET ANT WHITE FINISH,17467.33,2071
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,17291.57,10070
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,17271.530000000002,6159
22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,15940
20728,LUNCH BAG CARS BLUE,17214.53,10789
23240,SET OF 4 KNICK KNACK TINS DOILY ,16394.9,4094
21212,PACK OF 72 RETROSPOT CAKE CASES,16381.880000000001,33670
22384,LUNCH BAG PINK POLKADOT,16303.3,10226
22865,HAND WARMER OWL DESIGN,16113.730000000001,8056
15036,ASSORTED COLOURS SILK FAN,16044.44,21876
22492,MINI PAINT SET VINTAGE ,16039.240000000002,26076
21485,RETROSPOT HEART HOT WATER BOTTLE,15827.18,3326
22382,LUNCH BAG SPACEBOY DESIGN ,15820.15,9875
20712,JUMBO BAG WOODLAND ANIMALS,15511.6,8187
21754,HOME BUILDING BLOCK WORD,15504.51,2633
85152,HAND OVER THE CHOCOLATE   SIGN ,15484.51,8138
22114,HOT WATER BOTTLE TEA AND SYMPATHY,15386.07,3729
22385,JUMBO BAG SPACEBOY DESIGN,15320.75,8231
15056BL,EDWARDIAN PARASOL BLACK,15218.67,2779
84997B,CHILDRENS CUTLERY RETROSPOT RED ,15158.81,4035
22077,6 RIBBONS RUSTIC CHARM,14969.839999999998,8594
22698,PINK REGENCY TEACUP AND SAUCER,14663.29,5307
22624,IVORY KITCHEN SCALES,14638.73,1765
82483,WOOD 2 DRAWER CABINET WHITE FINISH,14573.720000000001,2324
20726,LUNCH BAG WOODLAND,14497.51,9091
22993,SET OF 4 PANTRY JELLY MOULDS,14151.42,11769
84997C,CHILDRENS CUTLERY POLKADOT BLUE,14040.59,3693
22835,HOT WATER BOTTLE I AM SO POORLY,13685.130000000001,2939
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,13558.409999999998,54319
48184,DOORMAT ENGLISH ROSE ,13447.1,1972
22084,PAPER CHAIN KIT EMPIRE,13411.550000000001,4885
84029E,RED WOOLLY HOTTIE WHITE HEART.,13311.26,3676
22847,BREAD BIN DINER STYLE IVORY,13191.689999999999,851
22622,BOX OF VINTAGE ALPHABET BLOCKS,13035.66,1295
23200,JUMBO BAG PEARS,13034.92,6729
22900, SET 2 TEA TOWELS I LOVE LONDON ,13030.7,4568
84078A,SET/4 WHITE RETRO STORAGE CUBES ,13007.150000000001,357
23108,SET OF 10 LED DOLLY LIGHTS,12972.73,2192
23313,VINTAGE CHRISTMAS BUNTING,12960.12,2748
23356,LOVE HOT WATER BOTTLE,12954.75,2325
82583,HOT BATHS METAL SIGN,12731.34,6367
84978,HANGING HEART JAR T-LIGHT HOLDER,12650.970000000001,10961
22752,SET 7 BABUSHKA NESTING BOXES,12639.79,1651
22558,CLOTHES PEGS RETROSPOT PACK 24 ,12525.21,8405
23301,GARDENERS KNEELING PAD KEEP CALM ,12463.779999999999,7722
22507,MEMO BOARD RETROSPOT  DESIGN,12411.02,2786
22188,BLACK HEART CARD HOLDER,12257.95,4843
20750,RED RETROSPOT MINI CASES,12208.85,1711
22866,HAND WARMER SCOTTY DOG DESIGN,12204.660000000002,6097
21232,STRAWBERRY CERAMIC TRINKET BOX,12195.06,10354
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,12160.08,1706
22113,GREY HEART HOT WATER BOTTLE,12148.9,3145
22551,PLASTERS IN TIN SPACEBOY,12138.599999999999,7656
22941,CHRISTMAS LIGHTS 10 REINDEER,12133.0,1570
20749,ASSORTED COLOUR MINI CASES,12107.51,1717
82600,NO SINGING METAL SIGN,12095.28,5832
22867,HAND WARMER BIRD DESIGN,12064.630000000001,5993
21524,DOORMAT SPOTTY HOME SWEET HOME,12055.32,1657
23207,LUNCH BAG ALPHABET DESIGN,11994.41,7533
22083,PAPER CHAIN KIT RETROSPOT,11935.310000000001,4265
22379,RECYCLING BAG RETROSPOT ,11913.03,6074
DOT,DOTCOM POSTAGE,11906.36,16
22625,RED KITCHEN SCALES,11836.23,1469
22568,FELTCRAFT CUSHION OWL,11756.8,3277
