Year,Month,TotalPrice,Quantity
2009,12,683504.01,398660
2010,1,555802.672,370082
2010,2,504558.956,371861
2010,3,696978.471,502100
2010,4,591982.002,350587
2010,5,597833.38,384960
2010,6,636371.13,389872
2010,7,589736.17,324632
2010,8,602224.6,452542
2010,9,829013.951,567153
2010,10,1033112.01,596432
2010,11,1166460.022,653068
2010,12,1451501.83,779725
2011,1,1136202.62,696946
2011,2,892169.84,530054
2011,3,1188163.52,695164
2011,4,936748.662,582732
2011,5,1354710.3,745728
2011,6,1320092.1,726028
2011,7,1197925.802,734720
2011,8,1288102.08,794746
2011,9,1901380.404,1087304
2011,10,2071284.9,1183086
2011,11,2312411.22,1331846
2011,12,1034398.88,573555
