Country,1,2,3,4,5,6,7,8,9,10,11,12
Australia,18035.420000000002,30420.5,34877.37,2174.15,29647.97,53590.32,10614.880000000001,45154.4,10999.29,37290.21,32730.96,2818.95
Austria,0.0,2155.58,4341.37,2750.1,3120.9,268.1,2383.9,4075.31,1940.17,3324.26,5532.86,3919.14
Bahrain,0.0,0.0,0.0,0.0,1585.01,0.0,0.0,0.0,0.0,317.76,0.0,0.0
Belgium,4034.42,7571.14,7588.48,6549.35,5562.95,12349.98,6865.37,8821.66,9606.95,12846.48,17884.5,7248.9800000000005
Brazil,0.0,0.0,0.0,2287.2,0.0,0.0,0.0,0.0,268.27,0.0,0.0,0.0
Canada,0.0,0.0,281.08,0.0,1068.48,2342.92,3537.16,103.11999999999999,0.0,834.89,381.77000000000004,0.0
Channel Islands,2189.91,3569.42,8083.78,1512.82,7793.0,4965.0599999999995,0.0,11136.9,8803.84,9587.83,5308.27,2476.57
Cyprus,1171.52,9418.97,4755.97,1151.7,515.61,2708.44,0.0,0.0,1385.88,9251.97,1276.92,6715.82
Czech Republic,0.0,1098.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.96,0.0,0.0
Denmark,7870.6,20608.34,15553.16,748.0,1031.4,9217.81,1344.14,3069.33,10865.57,3430.12,9459.1,5619.96
EIRE,108839.79,40429.5,66338.18,35809.08,50385.21,62606.32,113695.53,56835.020000000004,117988.06,92535.7,86614.55,54489.840000000004
European Community,0.0,0.0,0.0,382.8,0.0,864.1,1353.6,0.0,0.0,0.0,0.0,0.0
Finland,2579.46,410.32,11873.64,4632.97,837.11,1193.26,6949.6900000000005,2753.0,3075.58,6810.93,6555.46,4800.2
France,43945.87,26056.079999999998,37807.69,18464.4,49125.51,41330.48,31399.53,44192.24,61387.409999999996,82149.67,81518.24,46616.57
Germany,46323.79,28286.35,45483.46,48314.311,60577.76,42161.13,53156.25,48384.659999999996,53867.62,84756.82,86175.87,61894.17
Greece,10120.83,0.0,1297.35,1497.41,2476.22,302.4,842.48,721.7099999999999,780.06,3084.02,761.3,1972.93
Iceland,950.78,0.0,0.0,1272.5,0.0,765.04,0.0,1169.8200000000002,0.0,3200.17,0.0,2585.01
Israel,0.0,1558.2,0.0,0.0,0.0,0.0,4812.48,9747.619999999999,0.0,264.36,1248.42,0.0
Italy,4844.69,512.0,4347.84,3001.5099999999998,3548.35,671.59,294.2,3981.9,1940.16,12187.6,11815.32,2874.05
Japan,2.95,11755.34,208.20000000000002,13097.0,2702.9,3808.7599999999998,8962.1,0.0,2119.16,5429.97,16943.76,19524.62
Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.69000000000003,0.0,949.82,0.0
Lebanon,3387.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,1706.23,0.0,0.0,0.0,1525.39,4983.18
Malta,0.0,1636.38,0.0,0.0,0.0,1726.32,0.0,5975.12,0.0,0.0,1486.86,0.0
Netherlands,82453.09,63279.21,69280.96,12841.9,80788.29,77940.69,5584.68,105684.31,98911.66,98683.15,87806.76,56422.33
Nigeria,27.82,0.0,0.0,0.0,0.0,0.0,0.0,112.57000000000001,0.0,0.0,0.0,0.0
Norway,0.0,1261.8,16446.96,0.0,0.0,11773.720000000001,1780.1399999999999,4204.02,18331.57,7374.46,17684.32,17418.07
Poland,1226.44,1208.1,954.42,1411.6799999999998,3044.74,1243.46,1749.35,1331.04,1407.97,0.0,3543.6,1116.3
Portugal,8229.14,2886.63,7840.75,3461.04,9161.66,5437.38,4863.8,2906.02,5831.02,14732.25,10263.03,14982.42
RSA,0.0,931.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.6200000000001,0.0,0.0
Saudi Arabia,0.0,291.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,4106.14,0.0,0.0,17672.11,0.0,0.0,7898.64,0.0,2784.82,14134.64,0.0,0.0
Spain,24351.77,4783.04,12398.07,4405.28,9369.78,8998.62,16376.35,7984.81,14148.93,31340.01,23464.33,13064.78
Sweden,8652.79,9221.58,10755.34,19316.32,8920.72,2578.3,16194.96,5483.66,12049.98,20901.73,7378.37,8429.9
Switzerland,8462.46,5787.52,4692.08,6093.64,17045.18,18170.77,8269.29,11992.83,19044.16,23940.07,29808.65,3502.64
Thailand,0.0,0.0,0.0,0.0,0.0,1956.84,1113.7,0.0,0.0,0.0,0.0,0.0
USA,2289.59,0.0,0.0,767.9,416.31,896.0699999999999,508.1,0.0,0.0,4755.2,402.59999999999997,1911.48
United Arab Emirates,0.0,3088.78,1201.52,0.0,0.0,0.0,0.0,2047.28,2026.08,509.92,1713.69,517.7
United Kingdom,1296873.162,1118502.226,1518734.321,1318264.773,1602113.26,1586223.79,1471441.182,1500859.86,2268683.305,2518163.14,2928335.592,2823499.11
Unspecified,1035.1,0.0,0.0,850.72,1705.36,371.56,3964.24,1062.06,1978.15,0.0,300.93,0.0
West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.41,0.0,0.0,0.0,0.0
