Country,StockCode,Description,TotalPrice,Quantity
Australia,23084,RABBIT NIGHT LIGHT,6751.68,3768
Australia,22423,REGENCY CAKESTAND 3 TIER,4908.9,446
Australia,21731,RED TOADSTOOL LED NIGHT LIGHT,4451.4,3012
Australia,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4164.0,1200
Australia,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3966.4,928
Austria,POST,POSTAGE,4512.0,114
Austria,15056N,EDWARDIAN PARASOL NATURAL,868.2,156
Austria,15056BL,EDWARDIAN PARASOL BLACK,796.8000000000001,144
Austria,20679,EDWARDIAN PARASOL RED,796.8000000000001,144
Austria,15056P,EDWARDIAN PARASOL PINK,606.9000000000001,102
Bahrain,23076,ICE CREAM SUNDAE LIP GLOSS,240.0,192
Bahrain,23077,DOUGHNUT LIP GLOSS ,150.0,120
Bahrain,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,119.39999999999999,12
Bahrain,22649,STRAWBERRY FAIRY CAKE TEAPOT,118.80000000000001,24
Bahrain,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,60.0,48
Belgium,POST,POSTAGE,11191.0,697
Belgium,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,2610.6000000000004,924
Belgium,22630,DOLLY GIRL LUNCH BOX,1720.8,912
Belgium,22629,SPACEBOY LUNCH BOX ,1697.3999999999999,900
Belgium,M,Manual,1508.65,1
Brazil,22423,REGENCY CAKESTAND 3 TIER,350.4,32
Brazil,22722,SET OF 6 SPICE TINS PANTRY DESIGN,165.60000000000002,48
Brazil,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,162.72,48
Brazil,22366,DOORMAT AIRMAIL ,135.0,20
Brazil,22697,GREEN REGENCY TEACUP AND SAUCER,122.39999999999999,48
Canada,POST,POSTAGE,1101.88,2
Canada,37370,RETRO COFFEE MUGS ASSORTED,1068.48,1008
Canada,20727,LUNCH BAG  BLACK SKULL.,165.0,100
Canada,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,120.96,576
Canada,21558,SKULL LUNCH BOX WITH CUTLERY ,107.1,42
Channel Islands,51008,AFGHAN SLIPPER SOCK PAIR,1770.0,600
Channel Islands,85099B,JUMBO BAG RED RETROSPOT,1416.4,800
Channel Islands,22423,REGENCY CAKESTAND 3 TIER,1303.35,109
Channel Islands,85099C,JUMBO  BAG BAROQUE BLACK WHITE,1129.2,640
Channel Islands,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,816.0,192
Cyprus,22423,REGENCY CAKESTAND 3 TIER,1332.15,109
Cyprus,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1168.05,435
Cyprus,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1160.0,8
Cyprus,15056N,EDWARDIAN PARASOL NATURAL,803.25,135
Cyprus,M,Manual,641.38,2
Czech Republic,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,141.60000000000002,48
Czech Republic,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,122.39999999999999,48
Czech Republic,22231,JIGSAW TREE WITH BIRDHOUSE,104.39999999999999,72
Czech Republic,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,102.0,24
Czech Republic,47594B,SCOTTIES DESIGN WASHBAG,93.6,48
