Country,1,2,3,4,5,6,7,8,9,10,11,12
Australia,9017.710000000001,15725.08,17653.38,1402.55,16009.56,28402.55,5650.5,22665.2,5892.56,20139.68,25488.24,1853.6
Austria,0.0,1637.22,2633.25,2069.32,1871.47,268.1,1191.95,2559.23,1940.17,2280.48,4203.08,2958.7400000000002
Bahrain,0.0,0.0,0.0,0.0,1036.6100000000001,0.0,0.0,0.0,0.0,317.76,0.0,0.0
Belgium,2834.22,5390.07,4236.5,4559.87,2830.55,8075.16,4389.8,5267.64,5398.93,7161.1,11568.74,4021.34
Brazil,0.0,0.0,0.0,1143.6,0.0,0.0,0.0,0.0,268.27,0.0,0.0,0.0
Canada,0.0,0.0,140.54,0.0,534.24,1171.46,1768.58,51.559999999999995,0.0,834.89,381.77000000000004,0.0
Channel Islands,1514.33,1784.71,4574.45,1219.82,6585.76,2905.0299999999997,0.0,6250.02,7480.09,6964.51,3793.5,1914.64
Cyprus,624.02,5084.73,3817.58,1151.7,515.61,1599.1200000000001,0.0,0.0,1189.53,4901.65,837.26,5128.75
Czech Republic,0.0,549.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.48,0.0,0.0
Denmark,7870.6,20209.12,11574.17,748.0,515.7,5956.66,967.9000000000001,2856.18,6295.41,1939.3600000000001,6759.53,4169.56
EIRE,86935.6,30317.98,44663.82,28238.58,34408.06,42770.33,72841.38,39877.19,77155.42,68232.78,57166.14,38697.04
European Community,0.0,0.0,0.0,191.4,0.0,432.05,676.8,0.0,0.0,0.0,0.0,0.0
Finland,1690.44,205.16,5936.82,2944.05,837.11,863.7,3952.96,1376.5,1970.13,3988.81,3485.22,2674.64
France,26205.75,17540.12,23222.74,12934.79,31519.03,25251.51,21399.34,30381.28,37959.37,48678.62,50243.49,29705.34
Germany,29442.95,18705.3,31090.77,35998.771,34843.06,28914.78,36715.27,29163.89,35788.15,53128.4,58208.19,38704.26
Greece,7459.59,0.0,910.04,887.6700000000001,2476.22,302.4,421.24,721.7099999999999,780.06,3084.02,761.3,1291.94
Iceland,475.39,0.0,0.0,636.25,0.0,382.52,0.0,584.9100000000001,0.0,1905.8500000000001,0.0,1648.4
Israel,0.0,779.1,0.0,0.0,0.0,0.0,3381.73,4873.8099999999995,0.0,132.18,1248.42,0.0
Italy,2442.18,256.0,2541.03,2263.68,2960.9,469.52,147.1,1990.95,1660.3600000000001,8697.91,7244.24,1862.1000000000001
Japan,2.95,5974.53,159.3,6548.5,1351.45,2201.72,5107.7,0.0,2007.08,3481.9300000000003,8483.68,11819.55
Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.69000000000003,0.0,949.82,0.0
Lebanon,1693.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,1706.23,0.0,0.0,0.0,1525.39,3322.12
Malta,0.0,1636.38,0.0,0.0,0.0,863.16,0.0,4856.12,0.0,0.0,743.43,0.0
Netherlands,55841.93,40267.3,46864.47,9865.34,51602.409999999996,51082.6,5558.66,65356.5,71974.4,57974.5,61932.75,35909.83
Nigeria,27.82,0.0,0.0,0.0,0.0,0.0,0.0,112.57000000000001,0.0,0.0,0.0,0.0
Norway,0.0,630.9,15181.65,0.0,0.0,5886.860000000001,890.0699999999999,2178.21,9652.63,3687.23,11156.82,10845.25
Poland,613.22,604.05,636.64,705.8399999999999,1522.37,899.81,1062.05,929.24,878.72,0.0,2182.37,868.14
Portugal,4173.43,1672.73,5179.9,1773.29,4959.43,4552.92,2575.95,1684.6200000000001,4397.8,8855.24,7659.7300000000005,9734.26
RSA,0.0,931.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.3100000000001,0.0,0.0
Saudi Arabia,0.0,145.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singapore,2053.07,0.0,0.0,9462.53,0.0,0.0,3949.32,0.0,2784.82,7067.32,0.0,0.0
Spain,14265.68,2668.54,7034.92,2619.63,6112.18,5665.41,8755.58,4642.4,8959.69,22703.07,14795.27,10904.84
Sweden,5166.47,8712.08,6034.76,18507.22,6238.74,1746.3,9392.869999999999,4093.3,7474.77,15135.57,4656.14,4357.6
Switzerland,4231.23,3132.6,2821.85,4016.7,13435.17,10266.62,4506.64,7022.94,10759.3,16284.88,21689.69,2197.72
Thailand,0.0,0.0,0.0,0.0,0.0,1956.84,1113.7,0.0,0.0,0.0,0.0,0.0
USA,2289.59,0.0,0.0,383.95,416.31,896.0699999999999,508.1,0.0,0.0,2444.0,402.59999999999997,1026.24
United Arab Emirates,0.0,2199.54,1201.52,0.0,0.0,0.0,0.0,2047.28,1013.04,509.92,1713.69,517.7
United Kingdom,855996.832,763884.026,1052950.131,909531.662,1051753.91,1062448.2,986895.591,1003664.95,1473876.613,1696943.01,1953084.202,1855639.95
Unspecified,1035.1,0.0,0.0,551.62,852.68,185.78,3172.06,531.03,1978.15,0.0,300.93,0.0
West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,536.41,0.0,0.0,0.0,0.0
