InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue,Month,Year
536477,21137,BLACK RECORD COVER FRAME,480,2010-12-01 12:27:00,3.39,16210,United Kingdom,1627.2,12,2010
536584,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,2010-12-01 16:22:00,2.95,13777,United Kingdom,1132.8000000000002,12,2010
536785,22423,REGENCY CAKESTAND 3 TIER,144,2010-12-02 15:22:00,10.95,15061,United Kingdom,1576.8,12,2010
536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,2010-12-02 16:48:00,0.55,15299,United Kingdom,1003.2,12,2010
536830,21915,RED  HARMONICA IN BOX ,1400,2010-12-02 17:38:00,1.06,16754,United Kingdom,1484.0,12,2010
536970,22423,REGENCY CAKESTAND 3 TIER,120,2010-12-03 13:12:00,10.95,17949,United Kingdom,1314.0,12,2010
537235,22622,BOX OF VINTAGE ALPHABET BLOCKS,156,2010-12-06 09:45:00,8.5,17381,United Kingdom,1326.0,12,2010
537256,21137,BLACK RECORD COVER FRAME,480,2010-12-06 11:06:00,3.39,16210,United Kingdom,1627.2,12,2010
537456,22470,HEART OF WICKER LARGE,378,2010-12-07 09:43:00,3.21,17450,United Kingdom,1213.3799999999999,12,2010
537632,AMAZONFEE,AMAZON FEE,1,2010-12-07 15:08:00,13541.33,,United Kingdom,13541.33,12,2010
537657,82484,WOOD BLACK BOARD ANT WHITE FINISH,408,2010-12-07 16:42:00,4.78,18102,United Kingdom,1950.24,12,2010
537657,22189,CREAM HEART CARD HOLDER,972,2010-12-07 16:42:00,2.31,18102,United Kingdom,2245.32,12,2010
537657,22188,BLACK HEART CARD HOLDER,972,2010-12-07 16:42:00,2.31,18102,United Kingdom,2245.32,12,2010
537657,21623,VINTAGE UNION JACK MEMOBOARD,408,2010-12-07 16:42:00,6.38,18102,United Kingdom,2603.04,12,2010
537659,22189,CREAM HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102,United Kingdom,2328.48,12,2010
537659,22188,BLACK HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102,United Kingdom,2328.48,12,2010
537659,21623,VINTAGE UNION JACK MEMOBOARD,600,2010-12-07 16:43:00,6.38,18102,United Kingdom,3828.0,12,2010
537659,82484,WOOD BLACK BOARD ANT WHITE FINISH,600,2010-12-07 16:43:00,4.78,18102,United Kingdom,2868.0,12,2010
537659,22833,HALL CABINET WITH 3 DRAWERS,72,2010-12-07 16:43:00,32.69,18102,United Kingdom,2353.68,12,2010
537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,2010-12-09 10:44:00,2.55,12755,Japan,3794.3999999999996,12,2010
538063,22830,UTILTY CABINET WITH HOOKS,96,2010-12-09 13:44:00,19.94,18102,United Kingdom,1914.2400000000002,12,2010
538191,22423,REGENCY CAKESTAND 3 TIER,272,2010-12-10 10:49:00,10.95,15061,United Kingdom,2978.3999999999996,12,2010
538848,85232B,SET OF 3 BABUSHKA STACKING TINS,240,2010-12-14 13:28:00,4.95,17404,Sweden,1188.0,12,2010
538877,22423,REGENCY CAKESTAND 3 TIER,52,2010-12-14 15:29:00,25.49,,United Kingdom,1325.48,12,2010
538877,84029E,RED WOOLLY HOTTIE WHITE HEART.,120,2010-12-14 15:29:00,8.47,,United Kingdom,1016.4000000000001,12,2010
539101,22693,GROW A FLYTRAP OR SUNFLOWER IN TIN,2400,2010-12-16 10:35:00,0.94,16029,United Kingdom,2256.0,12,2010
539109,85123A,WHITE HANGING HEART T-LIGHT HOLDER,500,2010-12-16 11:07:00,2.55,16013,United Kingdom,1275.0,12,2010
539257,21137,BLACK RECORD COVER FRAME,480,2010-12-16 14:29:00,3.39,16210,United Kingdom,1627.2,12,2010
539750,22114,HOT WATER BOTTLE TEA AND SYMPATHY,210,2010-12-21 15:40:00,9.32,,United Kingdom,1957.2,12,2010
539750,22423,REGENCY CAKESTAND 3 TIER,79,2010-12-21 15:40:00,25.49,,United Kingdom,2013.7099999999998,12,2010
539750,84029E,RED WOOLLY HOTTIE WHITE HEART.,215,2010-12-21 15:40:00,8.47,,United Kingdom,1821.0500000000002,12,2010
539750,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,129,2010-12-21 15:40:00,8.47,,United Kingdom,1092.63,12,2010
539750,21479,WHITE SKULL HOT WATER BOTTLE ,197,2010-12-21 15:40:00,8.47,,United Kingdom,1668.5900000000001,12,2010
539856,M,Manual,1,2010-12-22 14:41:00,1298.4,,United Kingdom,1298.4,12,2010
