dataset,operation,method,time_seconds,result_rows,output_file
normal,sales_by_country,groupby,0.07990350000000035,41,normal_sales_by_country_groupby.csv
normal,sales_by_country,pivot_table,0.08073109999986627,41,normal_sales_by_country_pivot_table.csv
normal,sales_by_country,set_index_groupby,0.07107019999989461,41,normal_sales_by_country_set_index_groupby.csv
normal,sales_by_month,groupby,0.07142410000005839,25,normal_sales_by_month_groupby.csv
normal,sales_by_month,pivot_table,0.0760275999998612,25,normal_sales_by_month_pivot_table.csv
normal,sales_by_month,set_index_groupby,0.07573019999995267,25,normal_sales_by_month_set_index_groupby.csv
normal,transactions_by_customer,groupby,0.19173129999990124,5878,normal_transactions_by_customer_groupby.csv
normal,transactions_by_customer,pivot_table,0.7213391999998748,5878,normal_transactions_by_customer_pivot_table.csv
normal,transactions_by_customer,set_index_groupby,0.19269579999991038,5878,normal_transactions_by_customer_set_index_groupby.csv
large,sales_by_country,groupby,0.3427386999999271,41,large_sales_by_country_groupby.csv
large,sales_by_country,pivot_table,0.3659828000002108,41,large_sales_by_country_pivot_table.csv
large,sales_by_country,set_index_groupby,0.35767779999991944,41,large_sales_by_country_set_index_groupby.csv
large,sales_by_month,groupby,0.3467000000000553,25,large_sales_by_month_groupby.csv
large,sales_by_month,pivot_table,0.34998300000006566,25,large_sales_by_month_pivot_table.csv
large,sales_by_month,set_index_groupby,0.34544350000010127,25,large_sales_by_month_set_index_groupby.csv
large,transactions_by_customer,groupby,0.9636712999999872,5878,large_transactions_by_customer_groupby.csv
large,transactions_by_customer,pivot_table,2.392865000000029,5878,large_transactions_by_customer_pivot_table.csv
large,transactions_by_customer,set_index_groupby,0.9964011999998093,5878,large_transactions_by_customer_set_index_groupby.csv
